age_upon_outcome,animal_id,animal_type,breed,color,date_of_birth,datetime,name,outcome_subtype,outcome_type,sex_upon_outcome
1 year,A684766,Dog,Dachshund/Australian Cattle Dog,White/Brown,2013-07-28T00:00:00,2014-07-30T17:00:00,Shorty,partner,Adoption,Neutered Male
4 months,A665307,Cat,Domestic Shorthair Mix,Brown Tabby/White,2013-06-16T00:00:00,2013-10-27T14:45:00,*Johnny,Partner,Transfer,Neutered Male
3 weeks,A684835,Cat,Domestic Shorthair Mix,Brown Tabby,2014-07-07T00:00:00,2014-07-29T17:06:00,Lucy,Partner,Transfer,Intact Female
2 months,A678212,Cat,Domestic Shorthair Mix,Black,2014-05-05T00:00:00,2014-07-12T11:50:00,*Midnight,partner,Adoption,Neutered Male
2 months,A682057,Dog,Labrador Retriever/Cocker Spaniel,Gold/White,2014-04-23T00:00:00,2014-06-27T16:38:00,Rory,partner,Adoption,Spayed Female
2 months,A678666,Cat,Domestic Shorthair Mix,Blue,2014-05-05T00:00:00,2014-07-12T20:23:00,Lucy,Foster,Adoption,Neutered Male
1 year,A666594,Bird,Parakeet Mix,Green,2012-11-04T00:00:00,2013-11-10T16:36:00,Lucy,Partner,Transfer,Intact Male
3 months,A679568,Dog,Pit Bull Mix,Tan,2014-02-23T00:00:00,2014-05-28T18:36:00,Lucy,partner,Adoption,Neutered Male
1 year,A685224,Dog,Labrador Retriever/Boxer,Black,2013-08-04T00:00:00,2014-08-16T14:55:00,*Stewie,partner,Adoption,Neutered Male
3 years,A683290,Cat,Domestic Medium Hair,Brown Tabby,2011-07-09T00:00:00,2014-07-12T09:00:00,Lucy,SCRP,Transfer,Intact Female
10 years,A667995,Dog,Border Collie/German Shepherd,Black/Brown,2003-11-26T00:00:00,2013-12-20T17:32:00,*Caleb,Partner,Transfer,Neutered Male
2 years,A671339,Dog,Pointer/Catahoula,White/Yellow Brindle,2012-01-22T00:00:00,2014-01-30T17:21:00,Lucy,partner,Adoption,Spayed Female
5 months,A655042,Cat,Domestic Shorthair Mix,Orange Tabby,2013-04-28T00:00:00,2013-10-12T18:42:00,*Chartreuse,partner,Adoption,Neutered Male
2 weeks,A676710,Cat,Domestic Shorthair Mix,Black,2014-03-30T00:00:00,2014-04-14T13:20:00,Lucy,Partner,Transfer,Intact Male
3 years,A681195,Dog,Labrador Retriever Mix,Black,2011-06-13T00:00:00,2014-06-14T11:14:00,Lucky,partner,Return to Owner,Intact Male
10 years,A682813,Dog,Basset Hound Mix,Black/Brown,2004-01-03T00:00:00,2014-07-04T10:32:00,Peanut,partner,Adoption,Spayed Female
14 years,A681148,Cat,Domestic Longhair Mix,White,2000-06-13T00:00:00,2014-06-13T11:59:00,Angel,Suffering,Euthanasia,Neutered Male
4 months,A665357,Dog,Redbone Hound/Labrador Retriever,Red/White,2013-06-16T00:00:00,2013-10-20T17:51:00,The Admiral,partner,Adoption,Spayed Female
3 years,A682964,Dog,Chihuahua Shorthair Mix,White/Tan,2011-07-05T00:00:00,2014-07-16T18:35:00,Baby,partner,Adoption,Spayed Female
3 months,A679133,Dog,Pit Bull Mix,Brown Brindle/White,2014-01-16T00:00:00,2014-05-16T19:32:00,Lucy,Partner,Transfer,Intact Female
3 years,A673088,Dog,Maltese,White,2011-02-28T00:00:00,2014-03-16T16:13:00,Cotton,Offsite,Adoption,Neutered Male
2 months,A667408,Cat,Domestic Shorthair Mix,Black/White,2013-10-02T00:00:00,2013-12-15T15:04:00,Jack,partner,Adoption,Neutered Male
2 weeks,A675802,Cat,Domestic Shorthair Mix,White/Brown,2014-03-17T00:00:00,2014-04-01T12:41:00,Lucy,Partner,Transfer,Unknown
3 years,A680733,Dog,German Shepherd/Australian Cattle Dog,Black/Brown,2011-06-06T00:00:00,2014-06-29T12:55:00,*Aster,partner,Adoption,Spayed Female
3 years,A678931,Dog,Irish Wolfhound Mix,Black,2011-05-14T00:00:00,2014-05-20T18:37:00,Sherlock,partner,Adoption,Neutered Male
5 years,A681011,Dog,Boston Terrier Mix,Brown Brindle/White,2009-06-11T00:00:00,2014-08-05T12:13:00,Ada,partner,Return to Owner,Spayed Female
3 years,A668278,Other,Raccoon,Black/Gray,2010-12-01T00:00:00,2013-12-01T13:45:00,Lucy,Medical,Euthanasia,Intact Male
5 months,A674749,Other,Raccoon Mix,Brown,2013-09-17T00:00:00,2014-03-18T08:41:00,Lucy,partner,Disposal,Unknown
1 year,A674701,Dog,Beagle/Jack Russell Terrier,White/Black,2013-03-17T00:00:00,2014-03-18T18:06:00,Mala,partner,Return to Owner,Spayed Female
2 months,A672561,Cat,Russian Blue Mix,Blue,2013-11-20T00:00:00,2014-02-16T12:22:00,Storm,partner,Adoption,Intact Male
2 months,A682200,Cat,Domestic Medium Hair Mix,Black,2014-04-18T00:00:00,2014-06-27T13:17:00,*Peter,Partner,Transfer,Intact Male
3 weeks,A683464,Dog,Labrador Retriever Mix,White,2014-06-28T00:00:00,2014-07-21T18:10:00,Lucy,Partner,Transfer,Intact Male
5 years,A582082,Dog,Dachshund/Manchester Terrier,Black/Tricolor,2009-02-21T00:00:00,2014-04-22T15:27:00,Oliver,partner,Return to Owner,Neutered Male
2 months,A661832,Cat,Domestic Shorthair Mix,Black Smoke,2013-08-18T00:00:00,2013-11-16T17:38:00,Chloe,partner,Adoption,Spayed Female
1 year,A680074,Dog,Chihuahua Shorthair Mix,Tan/White,2013-05-29T00:00:00,2014-06-03T17:58:00,Valentina,partner,Adoption,Spayed Female
9 months,A664695,Dog,American Foxhound Mix,Brown/White,2013-04-22T00:00:00,2014-02-16T14:26:00,Jake,Partner,Transfer,Neutered Male
1 year,A669539,Dog,Labrador Retriever Mix,Black,2012-12-22T00:00:00,2013-12-26T18:05:00,Bootsy,partner,Return to Owner,Neutered Male
12 years,A686683,Dog,German Shepherd Mix,White,2002-08-25T00:00:00,2014-08-25T15:09:00,Ira,Suffering,Euthanasia,Intact Male
2 weeks,A681040,Cat,Domestic Shorthair Mix,Blue/White,2014-05-27T00:00:00,2014-06-11T17:11:00,Lucy,Partner,Transfer,Unknown
2 months,A677660,Cat,Domestic Shorthair Mix,Calico,2014-03-29T00:00:00,2014-06-01T17:31:00,Claire,Foster,Adoption,Spayed Female
7 years,A664723,Cat,Domestic Shorthair Mix,Calico,2006-10-08T00:00:00,2013-10-08T12:47:00,Lucy,Suffering,Euthanasia,Intact Female
16 years,A256412,Dog,Labrador Retriever Mix,Yellow,1997-03-11T00:00:00,2013-10-06T14:26:00,Beau,partner,Return to Owner,Intact Male
1 year,A683250,Cat,Domestic Shorthair Mix,Orange Tabby,2013-07-08T00:00:00,2014-07-24T12:49:00,X,Partner,Transfer,Neutered Male
4 years,A683634,Cat,Domestic Shorthair Mix,Cream Tabby,2010-07-13T00:00:00,2014-07-14T14:36:00,Lucy,Suffering,Euthanasia,Intact Male
5 months,A686286,Cat,Domestic Shorthair Mix,Black,2014-03-19T00:00:00,2014-08-30T13:46:00,*Jynx,partner,Adoption,Spayed Female
5 years,A679122,Dog,Chow Chow/American Eskimo,White/Cream,2009-05-16T00:00:00,2014-07-08T14:48:00,*Elton,partner,Adoption,Neutered Male
3 years,A664599,Dog,Miniature Poodle Mix,White,2010-10-05T00:00:00,2013-10-07T17:12:00,Muffin,partner,Return to Owner,Spayed Female
2 years,A670273,Dog,Labrador Retriever/Chesa Bay Retr,Brown/White,2011-11-01T00:00:00,2014-02-16T19:33:00,*Annie,Offsite,Adoption,Spayed Female
3 years,A661559,Cat,Domestic Shorthair Mix,Brown Tabby/White,2010-08-21T00:00:00,2013-12-11T12:50:00,George,Partner,Transfer,Neutered Male
5 months,A666928,Dog,Miniature Schnauzer/Miniature Poodle,White,2013-06-09T00:00:00,2013-11-09T15:34:00,Oscar,Partner,Transfer,Intact Male
2 years,A675002,Dog,Pit Bull Mix,Blue/White,2012-03-21T00:00:00,2014-03-25T17:33:00,*Jess,partner,Adoption,Spayed Female
3 weeks,A678585,Cat,Domestic Shorthair Mix,Blue,2014-04-18T00:00:00,2014-05-10T17:44:00,Lucy,Partner,Transfer,Intact Female
4 months,A675073,Dog,Chihuahua Shorthair Mix,Tan/White,2013-11-22T00:00:00,2014-04-03T15:08:00,Johnny Bravo,partner,Adoption,Intact Male
4 weeks,A681265,Cat,Domestic Longhair Mix,Black,2014-05-14T00:00:00,2014-06-14T12:49:00,Lucy,Partner,Transfer,Intact Male
4 days,A682736,Cat,Domestic Shorthair Mix,Blue Tabby,2014-06-28T00:00:00,2014-07-02T14:14:00,Lucy,Partner,Transfer,Intact Female
4 days,A677293,Cat,Domestic Shorthair Mix,Orange Tabby,2014-04-19T00:00:00,2014-04-23T11:17:00,Lucy,Partner,Transfer,Intact Male
3 months,A660950,Cat,Domestic Shorthair Mix,Brown Tabby/White,2013-07-16T00:00:00,2013-11-01T17:54:00,*Lil Sister,partner,Adoption,Spayed Female
1 week,A681765,Cat,Domestic Shorthair Mix,Black/White,2014-06-13T00:00:00,2014-06-20T11:19:00,Lucy,Partner,Transfer,Unknown
3 years,A682687,Dog,Pug,Fawn/Black,2011-07-01T00:00:00,2014-07-05T17:30:00,Lucy,Partner,Transfer,Neutered Male
3 months,A661695,Cat,Domestic Shorthair Mix,Black Tabby,2013-07-16T00:00:00,2013-10-20T12:25:00,Lucy,Partner,Transfer,Neutered Male
1 year,A675677,Other,Bat Mix,Black/Brown,2013-03-31T00:00:00,2014-03-31T13:28:00,Lucy,Rabies Risk,Euthanasia,Unknown
6 months,A677243,Other,Bat Mix,Brown,2013-10-21T00:00:00,2014-04-22T08:16:00,Lucy,Rabies Risk,Euthanasia,Unknown
11 months,A647854,Dog,Chihuahua Shorthair Mix,Tan,2013-01-04T00:00:00,2013-12-23T12:00:00,Kona,partner,Adoption,Neutered Male
1 year,A674121,Other,Fox Mix,Brown/White,2013-03-07T00:00:00,2014-03-07T15:49:00,Lucy,Rabies Risk,Euthanasia,Unknown
2 months,A664750,Cat,Domestic Shorthair Mix,Blue,2013-08-26T00:00:00,2013-11-06T08:54:00,*Harmony,Offsite,Adoption,Spayed Female
1 year,A679538,Cat,Domestic Shorthair Mix,Blue,2013-05-22T00:00:00,2014-05-23T19:15:00,Lucy,SCRP,Transfer,Unknown
4 months,A665080,Dog,Border Collie Mix,Black/White,2013-06-13T00:00:00,2013-10-17T16:35:00,Lucy,Partner,Transfer,Neutered Male
5 years,A674473,Dog,American Pit Bull Terrier/American Bulldog,Red/White,2009-03-15T00:00:00,2014-03-15T12:06:00,Renji,partner,Return to Owner,Intact Male
8 years,A527215,Dog,Labrador Retriever,Black,2005-11-13T00:00:00,2014-02-28T15:16:00,Hero,partner,Return to Owner,Neutered Male
1 year,A670827,Dog,Chihuahua Shorthair/Jack Russell Terrier,Chocolate/White,2012-07-14T00:00:00,2014-02-19T13:02:00,Osita,Foster,Adoption,Spayed Female
7 years,A668103,Dog,Pit Bull/Australian Cattle Dog,Red Tick/Tan,2006-11-27T00:00:00,2014-06-19T13:19:00,Sparky,partner,Return to Owner,Neutered Male
3 years,A676067,Dog,Chihuahua Shorthair Mix,Tan/White,2011-04-04T00:00:00,2014-04-05T07:57:00,Lucy,In Kennel,Died,Intact Female
1 month,A678913,Dog,Labrador Retriever/Australian Shepherd,Tricolor,2014-05-14T00:00:00,2014-07-10T14:46:00,*Michael,Foster,Adoption,Spayed Female
2 months,A677781,Dog,Border Collie/Labrador Retriever,Tan/White,2014-01-29T00:00:00,2014-04-30T17:06:00,Woody,partner,Adoption,Neutered Male
1 year,A681484,Cat,Domestic Shorthair Mix,Blue/White,2013-06-17T00:00:00,2014-06-18T09:00:00,Lucy,SCRP,Transfer,Intact Male
2 years,A670174,Dog,Pit Bull Mix,Tan/White,2012-01-03T00:00:00,2014-01-22T17:20:00,Otto,In Surgery,Died,Neutered Male
2 months,A669058,Dog,Border Terrier Mix,Brown/Black,2013-10-29T00:00:00,2014-01-10T14:28:00,*Noelle,Foster,Adoption,Spayed Female
11 months,A653248,Dog,Labrador Retriever/Boxer,Black/White,2013-03-20T00:00:00,2014-03-11T18:39:00,Nahti,partner,Return to Owner,Spayed Female
3 months,A684744,Cat,Domestic Shorthair Mix,Calico,2014-04-22T00:00:00,2014-07-29T18:20:00,Smokey,partner,Return to Owner,Spayed Female
1 year,A681793,Cat,Domestic Medium Hair Mix,Black/White,2013-06-20T00:00:00,2014-06-21T16:19:00,Dinah,partner,Return to Owner,Spayed Female
3 years,A679675,Cat,Domestic Shorthair Mix,Calico,2011-05-24T00:00:00,2014-06-14T12:56:00,Luna,Partner,Transfer,Spayed Female
8 years,A672261,Dog,Pomeranian Mix,Black,2006-02-06T00:00:00,2014-02-14T18:43:00,Aiko,partner,Adoption,Neutered Male
10 years,A669122,Cat,Domestic Shorthair Mix,Orange Tabby,2003-12-15T00:00:00,2013-12-18T18:35:00,Chester,partner,Return to Owner,Neutered Male
1 month,A684047,Cat,Siamese Mix,Seal Point,2014-06-12T00:00:00,2014-07-22T07:12:00,Chloe,Partner,Transfer,Intact Female
2 years,A669807,Cat,Domestic Shorthair Mix,Orange Tabby,2011-12-27T00:00:00,2013-12-31T15:27:00,*Morris,Partner,Transfer,Neutered Male
2 years,A665583,Cat,Domestic Shorthair Mix,Calico,2011-10-19T00:00:00,2013-10-20T13:37:00,Lucy,SCRP,Transfer,Intact Female
1 year,A668384,Dog,German Shepherd Mix,Brown/Black,2012-12-03T00:00:00,2013-12-27T18:55:00,*Juneau,partner,Adoption,Spayed Female
1 year,A682623,Cat,Domestic Shorthair Mix,White,2013-06-30T00:00:00,2014-07-13T19:10:00,Izabella,partner,Adoption,Spayed Female
3 months,A681285,Dog,Australian Cattle Dog/Labrador Retriever,White/Brown,2014-03-26T00:00:00,2014-06-26T11:55:00,*Hops,Partner,Transfer,Neutered Male
2 months,A681147,Dog,Dachshund/Rat Terrier,Tricolor,2014-04-13T00:00:00,2014-06-25T16:52:00,Lucy,Partner,Transfer,Spayed Female
10 years,A329835,Dog,Labrador Retriever Mix,Brown/Black,2002-12-01T00:00:00,2013-11-11T18:33:00,Molly,partner,Return to Owner,Spayed Female
2 years,A667793,Other,Bat Mix,Brown,2011-11-22T00:00:00,2013-11-24T08:50:00,Lucy,Enroute,Died,Unknown
10 years,A680765,Dog,Labrador Retriever Mix,Black,2004-06-07T00:00:00,2014-06-07T16:51:00,Dino,partner,Return to Owner,Neutered Male
4 months,A670353,Dog,Yorkshire Terrier Mix,Blue/Tan,2013-08-22T00:00:00,2014-01-10T13:46:00,Missy,Partner,Transfer,Spayed Female
1 year,A679109,Dog,Chihuahua Shorthair Mix,Brown/White,2013-05-16T00:00:00,2014-05-20T18:35:00,Loki,partner,Adoption,Neutered Male
2 years,A666871,Dog,Chihuahua Longhair Mix,Black/Tan,2011-11-08T00:00:00,2013-11-12T17:49:00,Lucy,partner,Adoption,Spayed Female
16 years,A672459,Dog,Bull Terrier,Black/White,1998-02-10T00:00:00,2014-02-12T15:59:00,Spudz,partner,Return to Owner,Neutered Male
3 years,A677880,Dog,Standard Schnauzer Mix,Cream,2011-04-30T00:00:00,2014-05-03T07:35:00,Christine,Offsite,Adoption,Spayed Female
3 years,A676222,Dog,American Staffordshire Terrier Mix,Brown Brindle/White,2011-04-07T00:00:00,2014-04-09T19:10:00,Diamond,partner,Return to Owner,Spayed Female
3 years,A459318,Dog,Miniature Schnauzer Mix,Silver/White,2011-02-03T00:00:00,2014-02-05T18:18:00,Pancho,partner,Return to Owner,Neutered Male
3 months,A671538,Dog,Plott Hound Mix,Brown Brindle/White,2013-10-26T00:00:00,2014-02-04T14:10:00,*Munchkin,Partner,Transfer,Intact Female
1 month,A668349,Dog,Australian Shepherd Mix,Black/Tan,2013-10-15T00:00:00,2013-12-04T17:28:00,Lucy,Partner,Transfer,Intact Male
2 months,A683200,Cat,Domestic Shorthair Mix,Orange Tabby/White,2014-05-24T00:00:00,2014-08-04T17:30:00,Brody,partner,Adoption,Neutered Male
10 months,A670547,Cat,Domestic Shorthair Mix,Brown Tabby/White,2013-03-09T00:00:00,2014-01-18T18:03:00,Mint,partner,Adoption,Spayed Female
2 months,A674601,Dog,German Shepherd Mix,Brown/Black,2014-01-15T00:00:00,2014-03-21T10:05:00,*Sheila,Suffering,Euthanasia,Intact Female
5 months,A681305,Dog,Chihuahua Shorthair/Toy Fox Terrier,Tricolor,2014-02-14T00:00:00,2014-08-14T17:09:00,*Rosie,partner,Adoption,Spayed Female
3 years,A677903,Cat,Domestic Shorthair Mix,Blue Tabby,2011-04-30T00:00:00,2014-06-29T17:00:00,*Leon,partner,Adoption,Neutered Male
5 months,A686296,Dog,Pit Bull Mix,Black/White,2014-03-19T00:00:00,2014-08-29T17:47:00,Zoe,Aggressive,Euthanasia,Spayed Female
3 months,A676917,Dog,Chihuahua Shorthair Mix,Black/White,2014-01-02T00:00:00,2014-04-17T13:38:00,Gretel,Partner,Transfer,Intact Female
4 years,A609335,Dog,Pit Bull Mix,White/Tan,2009-09-07T00:00:00,2013-12-27T18:15:00,*Churley,partner,Adoption,Neutered Male
6 days,A677776,Cat,Domestic Shorthair Mix,Orange Tabby,2014-04-23T00:00:00,2014-04-29T13:38:00,Lucy,Partner,Transfer,Intact Male
2 years,A657495,Dog,Chihuahua Shorthair Mix,Buff/White,2011-06-28T00:00:00,2014-06-06T11:14:00,Spartan,partner,Return to Owner,Neutered Male
2 months,A681903,Cat,Domestic Longhair Mix,Black,2014-04-21T00:00:00,2014-06-26T15:05:00,Lucy,Partner,Transfer,Intact Female
5 years,A673109,Dog,Maltese/Yorkshire Terrier,White/Cream,2009-02-19T00:00:00,2014-03-10T18:02:00,*Dana,partner,Adoption,Spayed Female
4 years,A549922,Dog,Chihuahua Shorthair,Brown,2009-03-11T00:00:00,2013-11-11T15:51:00,Dizzy,partner,Return to Owner,Spayed Female
1 year,A676160,Dog,Cairn Terrier Mix,White,2013-04-05T00:00:00,2014-04-10T18:20:00,*Birdie,Partner,Transfer,Spayed Female
7 years,A662156,Cat,Domestic Longhair Mix,White/Black,2006-08-30T00:00:00,2014-04-01T17:01:00,Luno,partner,Adoption,Neutered Male
9 months,A673492,Cat,Domestic Shorthair Mix,White,2013-05-25T00:00:00,2014-03-04T11:48:00,*White Snake,partner,Adoption,Spayed Female
2 years,A675020,Dog,Miniature Poodle Mix,White,2012-03-21T00:00:00,2014-03-21T19:19:00,Lucy,partner,Return to Owner,Neutered Male
2 months,A680548,Dog,Great Pyrenees Mix,White,2014-04-04T00:00:00,2014-06-08T17:05:00,Calamari,partner,Adoption,Neutered Male
6 days,A683589,Cat,Siamese Mix,White/Lynx Point,2014-07-06T00:00:00,2014-07-12T16:19:00,Lucy,Partner,Transfer,Intact Female
3 months,A676654,Dog,Pit Bull Mix,Chocolate/White,2013-12-29T00:00:00,2014-04-13T14:04:00,Lucy,Partner,Transfer,Intact Male
1 year,A671368,Dog,Miniature Pinscher/Chihuahua Shorthair,Chocolate/Tan,2013-01-23T00:00:00,2014-01-29T16:56:00,Lucy,Partner,Transfer,Intact Male
1 month,A683908,Cat,Domestic Shorthair Mix,Blue Tabby,2014-05-20T00:00:00,2014-07-20T14:10:00,Carrie,Partner,Transfer,Intact Female
2 months,A680124,Cat,Domestic Shorthair Mix,Brown Tabby,2014-04-19T00:00:00,2014-06-28T17:23:00,*Bill,Foster,Adoption,Neutered Male
3 years,A686691,Dog,Labrador Retriever Mix,Yellow,2011-08-25T00:00:00,2014-08-29T16:56:00,Lucy,Partner,Transfer,Neutered Male
6 years,A656425,Dog,German Shepherd,Red/Black,2007-06-14T00:00:00,2014-01-25T13:42:00,Hildago,partner,Return to Owner,Intact Male
2 years,A681481,Cat,Domestic Shorthair Mix,Blue/White,2012-06-17T00:00:00,2014-06-18T09:00:00,Lucy,SCRP,Transfer,Intact Female
1 year,A670565,Other,Fox Mix,Gray/Brown,2013-01-10T00:00:00,2014-01-10T12:59:00,Lucy,Rabies Risk,Euthanasia,Unknown
2 months,A680349,Cat,Domestic Medium Hair Mix,Orange Tabby,2014-04-25T00:00:00,2014-06-30T19:51:00,Charlie,partner,Adoption,Neutered Male
2 months,A684648,Cat,Domestic Shorthair Mix,Orange Tabby/White,2014-05-26T00:00:00,2014-08-03T17:06:00,Tiger Girl,partner,Adoption,Spayed Female
2 years,A616271,Dog,German Shepherd Mix,Red,2011-10-06T00:00:00,2014-04-16T12:50:00,*Franziska,Partner,Transfer,Spayed Female
2 months,A686806,Dog,Standard Poodle Mix,Black/Gray,2014-06-27T00:00:00,2014-08-31T18:33:00,Lucy,partner,Adoption,Neutered Male
9 months,A668280,Dog,Chihuahua Shorthair Mix,Brown/White,2013-03-01T00:00:00,2013-12-06T17:01:00,Lucy,Partner,Transfer,Neutered Male
1 year,A674995,Dog,Chihuahua Shorthair/Dachshund,Brown,2012-09-21T00:00:00,2014-03-30T17:05:00,Isabella,partner,Adoption,Spayed Female
2 years,A674087,Other,Raccoon Mix,Gray/Black,2012-03-07T00:00:00,2014-03-07T10:44:00,Lucy,Rabies Risk,Euthanasia,Unknown
8 years,A685433,Dog,Chihuahua Shorthair Mix,Black/Brown,2006-08-07T00:00:00,2014-08-07T16:15:00,Karma,partner,Return to Owner,Spayed Female
2 months,A680559,Cat,Domestic Shorthair Mix,Orange Tabby,2014-05-04T00:00:00,2014-07-13T16:56:00,Agnes,partner,Adoption,Intact Female
12 years,A683586,Cat,Domestic Longhair Mix,Tortie,2002-07-12T00:00:00,2014-07-12T14:35:00,Lucy,Suffering,Euthanasia,Intact Female
4 days,A684706,Cat,Domestic Shorthair Mix,Cream Tabby,2014-07-25T00:00:00,2014-07-29T14:34:00,Lucy,Partner,Transfer,Intact Male
2 years,A669583,Dog,Cardigan Welsh Corgi Mix,Chocolate/Tan,2011-12-23T00:00:00,2013-12-28T18:52:00,Percy,partner,Adoption,Neutered Male
2 years,A676111,Dog,Chihuahua Shorthair Mix,Brown/White,2012-03-28T00:00:00,2014-04-08T15:17:00,Saroc,partner,Return to Owner,Neutered Male
1 month,A678091,Cat,Domestic Shorthair Mix,White/Orange Tabby,2014-04-07T00:00:00,2014-06-07T13:15:00,Lucy,partner,Adoption,Spayed Female
5 months,A685008,Dog,Rat Terrier/Chihuahua Shorthair,Black/Tan,2014-03-07T00:00:00,2014-08-07T17:26:00,Lucy,partner,Adoption,Neutered Male
2 years,A668687,Cat,Domestic Shorthair Mix,Brown Tabby/White,2011-12-07T00:00:00,2013-12-09T14:03:00,Lucy,SCRP,Transfer,Spayed Female
2 years,A677459,Dog,American Bulldog Mix,Brown Brindle/White,2012-04-25T00:00:00,2014-05-27T15:41:00,*Fezzik,partner,Adoption,Neutered Male
2 months,A666955,Dog,Labrador Retriever Mix,Black/Black Brindle,2013-09-10T00:00:00,2013-11-15T11:13:00,Lucy,partner,Adoption,Spayed Female
6 months,A665396,Cat,Domestic Shorthair Mix,Brown Tabby/White,2013-04-17T00:00:00,2013-10-29T12:16:00,*Trapperjohn,Partner,Transfer,Neutered Male
2 months,A684302,Dog,Miniature Pinscher/Chihuahua Shorthair,Tricolor,2014-05-21T00:00:00,2014-07-25T18:08:00,Lucy,partner,Adoption,Neutered Male
2 months,A668274,Cat,Domestic Shorthair Mix,Brown Tabby,2013-10-01T00:00:00,2013-12-16T14:48:00,Wrigley,partner,Adoption,Spayed Female
1 weeks,A672166,Dog,Yorkshire Terrier Mix,Tan,2014-02-01T00:00:00,2014-02-14T15:04:00,Baxter,Partner,Transfer,Intact Male
9 years,A604785,Dog,Chesa Bay Retr Mix,Brown,2004-06-29T00:00:00,2014-06-26T17:50:00,Cobi,partner,Adoption,Neutered Male
1 year,A674840,Other,Guinea Pig Mix,Black/White,2013-03-19T00:00:00,2014-03-24T11:05:00,Oscar,Partner,Transfer,Intact Male
1 year,A673386,Other,Squirrel Mix,Brown,2013-02-23T00:00:00,2014-02-23T12:39:00,Lucy,Medical,Euthanasia,Unknown
1 year,A669224,Dog,American Pit Bull Terrier Mix,Black/White,2012-12-17T00:00:00,2014-02-25T11:05:00,*Levi,partner,Adoption,Neutered Male
2 months,A677361,Cat,Domestic Shorthair Mix,Black,2014-02-13T00:00:00,2014-05-05T12:33:00,*Chilli,Partner,Transfer,Neutered Male
6 months,A667413,Cat,Domestic Medium Hair Mix,Calico,2013-05-17T00:00:00,2013-11-22T19:05:00,Cupcake,partner,Adoption,Spayed Female
3 years,A668356,Dog,Border Collie Mix,Tan/White,2010-12-02T00:00:00,2013-12-12T15:38:00,Ricardo,Behavior,Euthanasia,Neutered Male
3 years,A682407,Other,Bat Mix,Red/Cream,2011-06-27T00:00:00,2014-06-27T14:34:00,Lucy,Rabies Risk,Euthanasia,Intact Female
3 years,A676613,Cat,Domestic Shorthair Mix,Tortie,2011-04-12T00:00:00,2014-04-16T12:32:00,Josie,partner,Return to Owner,Spayed Female
2 years,A683929,Dog,Shih Tzu,Tan/White,2012-07-17T00:00:00,2014-07-21T14:19:00,Nutterbutter,Partner,Transfer,Intact Male
2 years,A670249,Dog,Chihuahua Shorthair Mix,White/Black,2012-01-04T00:00:00,2014-01-10T15:25:00,Princess,Partner,Transfer,Intact Female
7 years,A667150,Dog,Jack Russell Terrier/Beagle,White/Brown,2006-11-13T00:00:00,2013-12-22T15:04:00,*Fara,partner,Adoption,Spayed Female
2 months,A679469,Dog,Labrador Retriever/German Shepherd,Black/Brown,2014-03-21T00:00:00,2014-05-24T17:16:00,Lucy,Partner,Transfer,Intact Male
2 years,A675569,Cat,Siamese Mix,Flame Point,2012-03-29T00:00:00,2014-04-03T14:01:00,Lucy,Partner,Transfer,Neutered Male
10 months,A663123,Dog,Dachshund Wirehair/Standard Poodle,Black,2012-11-15T00:00:00,2013-10-06T14:08:00,Travis,partner,Return to Owner,Neutered Male
9 months,A668100,Dog,Border Collie Mix,Black/White,2013-01-27T00:00:00,2013-11-27T18:46:00,Darwin,partner,Return to Owner,Intact Male
10 months,A666648,Dog,Chihuahua Shorthair/Rat Terrier,White/Tan,2013-01-05T00:00:00,2013-11-06T17:45:00,Hazel,partner,Return to Owner,Spayed Female
6 years,A483240,Cat,Domestic Longhair/Persian,Blue Cream,2007-06-17T00:00:00,2013-12-04T13:33:00,Frassina,Foster,Adoption,Spayed Female
1 year,A674159,Dog,Feist Mix,Tan/White,2013-03-08T00:00:00,2014-03-16T11:01:00,*Clover,Partner,Transfer,Intact Female
4 months,A665662,Cat,Domestic Shorthair Mix,White/Black,2013-08-22T00:00:00,2014-01-01T10:50:00,*Chris,Foster,Adoption,Neutered Male
9 months,A670928,Cat,Domestic Shorthair Mix,Torbie,2013-04-16T00:00:00,2014-01-17T11:45:00,Italia,partner,Return to Owner,Spayed Female
2 years,A677677,Bird,Bantam Mix,White,2012-04-25T00:00:00,2014-04-29T11:29:00,Lucy,partner,Adoption,Intact Male
5 years,A682709,Dog,Boxer Mix,White/Black,2009-01-01T00:00:00,2014-07-12T13:37:00,Endo,partner,Return to Owner,Neutered Male
1 weeks,A683748,Cat,Domestic Shorthair Mix,Brown Tabby,2014-07-13T00:00:00,2014-07-25T11:15:00,Lucy,Partner,Transfer,Unknown
3 years,A667404,Dog,Labrador Retriever/German Shepherd,Tricolor,2010-11-17T00:00:00,2013-11-18T18:34:00,Nina,partner,Return to Owner,Spayed Female
2 years,A670393,Dog,Dutch Shepherd Mix,Black/Black Brindle,2012-01-07T00:00:00,2014-02-11T11:03:00,Love,Foster,Adoption,Spayed Female
1 month,A667153,Cat,Domestic Shorthair Mix,Black/White,2013-09-13T00:00:00,2013-11-13T15:49:00,Lucy,Rabies Risk,Euthanasia,Intact Male
2 years,A671998,Dog,Labrador Retriever Mix,Tan,2012-02-02T00:00:00,2014-02-02T12:49:00,Molly,partner,Return to Owner,Spayed Female
